CODGEO,pct_femmes_pop,pct_cadres_pop,age_median_pop
02217,51.52,5.96,42.0
02218,51.3,6.15,42.0
02219,55.11,23.56,42.0
02220,49.66,17.95,42.0
02221,42.86,0.0,42.0
02222,51.28,50.0,42.0
02223,51.41,2.75,42.0
02224,52.0,5.56,42.0
02225,50.0,37.5,42.0
02226,50.95,7.28,42.0
02227,40.83,7.14,42.0
02228,49.01,16.67,42.0
02229,50.0,0.0,42.0
02230,53.45,16.67,42.0
02231,50.97,9.89,42.0
02232,35.11,4.09,42.0
02233,50.39,0.0,42.0
02234,54.76,14.29,42.0
02235,46.49,12.5,42.0
02236,47.58,0.0,42.0
02237,52.05,6.43,42.0
02238,51.87,11.23,42.0
02239,50.04,4.9,42.0
02240,49.49,5.0,42.0
02241,46.11,20.0,42.0
02242,50.08,11.76,42.0
02243,51.53,11.84,42.0
02244,37.5,0.0,42.0
02245,48.07,13.16,42.0
02246,49.48,5.26,42.0
02248,43.33,0.0,42.0
02249,41.18,18.18,42.0
02250,50.0,20.0,42.0
02251,44.44,0.0,42.0
02252,47.89,0.0,42.0
02253,48.64,6.98,42.0
02254,45.6,15.79,42.0
02255,47.06,7.69,42.0
02256,53.66,0.0,42.0
02257,48.97,29.03,42.0
02258,53.2,6.98,42.0
02259,50.36,10.0,42.0
02260,49.72,8.06,42.0
02261,46.75,2.95,42.0
02262,48.82,11.11,42.0
02263,43.75,0.0,42.0
02264,47.2,7.01,42.0
02265,52.44,0.0,42.0
02266,53.33,14.29,42.0
02267,48.17,17.39,42.0
02268,49.46,9.34,42.0
02269,46.62,17.65,42.0
02270,47.62,0.0,42.0
02271,49.25,16.67,42.0
02272,46.67,14.29,42.0
02273,51.26,4.0,42.0
02274,50.61,5.0,42.0
02275,50.58,0.0,42.0
02276,45.9,0.0,42.0
02277,49.93,3.68,42.0
02278,44.12,33.33,42.0
02279,48.99,15.37,42.0
02280,47.11,19.11,42.0
02281,45.76,0.0,42.0
02282,51.16,7.89,42.0
02283,50.44,14.09,42.0
02284,41.84,0.0,42.0
02286,50.41,0.0,42.0
02287,52.81,8.99,42.0
02288,52.72,6.26,42.0
02289,48.41,9.21,42.0
02290,48.69,9.29,42.0
02291,48.04,8.11,42.0
02292,52.3,6.79,42.0
02293,49.35,6.25,42.0
02294,49.04,11.11,42.0
02295,48.76,3.85,42.0
02296,51.69,8.02,42.0
02297,52.85,11.11,42.0
02298,49.65,2.38,42.0
02299,49.18,4.36,42.0
02302,48.28,11.9,42.0
02303,50.0,19.12,42.0
02304,55.47,4.88,42.0
02305,53.0,5.12,42.0
02306,49.34,0.0,42.0
02307,50.93,9.36,42.0
02308,47.29,4.55,42.0
02309,52.33,6.49,42.0
02310,45.09,4.0,42.0
02312,49.93,4.27,42.0
02313,48.55,4.77,42.0
02315,50.51,10.37,42.0
02316,51.56,18.18,42.0
02317,52.02,4.17,42.0
02318,49.41,5.8,42.0
02319,50.58,6.49,42.0
02320,48.93,12.5,42.0
02321,49.99,14.34,42.0
02322,45.91,16.22,42.0
02323,47.83,9.09,42.0
02324,46.94,7.41,42.0
02326,51.51,13.61,42.0
02327,57.23,0.0,42.0
02328,50.33,20.83,42.0
02329,48.56,6.67,42.0
02330,50.09,12.77,42.0
02331,48.11,0.0,42.0
02332,48.01,12.36,42.0
02333,51.25,0.0,42.0
02334,51.26,4.17,42.0
02335,41.9,11.11,42.0
02336,49.88,8.69,42.0
02337,51.03,0.0,42.0
02338,51.73,3.57,42.0
02339,46.44,8.97,42.0
02340,52.43,5.61,42.0
02341,46.94,0.0,42.0
02342,51.49,0.0,42.0
02343,56.79,0.0,42.0
02345,43.24,0.0,42.0
02346,50.0,8.33,42.0
02347,48.76,5.41,42.0
02349,52.31,0.0,42.0
02350,48.94,0.0,42.0
02351,50.0,25.0,42.0
02352,48.25,6.25,42.0
02353,50.62,10.72,42.0
02354,47.5,0.0,42.0
02355,51.88,13.59,42.0
02356,46.58,10.0,42.0
02357,46.43,0.0,42.0
02358,47.65,4.02,42.0
02359,49.91,7.48,42.0
02360,51.65,15.05,42.0
02361,53.55,5.0,42.0
02362,51.05,8.7,42.0
02363,48.04,8.27,42.0
02364,47.15,14.29,42.0
02366,46.3,0.0,42.0
02367,49.43,0.0,42.0
02368,50.25,3.51,42.0
02369,47.96,0.0,42.0
02370,51.0,4.55,42.0
02371,53.09,7.14,42.0
02372,49.62,9.37,42.0
02373,49.52,7.69,42.0
02374,50.11,3.85,42.0
02375,54.72,5.68,42.0
02376,50.0,5.68,42.0
02377,42.22,6.67,42.0
02378,51.13,0.0,42.0
02379,56.17,0.0,42.0
02380,42.86,0.0,42.0
02381,53.0,6.11,42.0
02382,50.01,12.28,42.0
02383,51.86,14.49,42.0
02384,51.79,0.0,42.0
02385,53.33,0.0,42.0
02386,49.76,0.0,42.0
02387,49.81,14.61,42.0
02388,49.32,4.55,42.0
02389,49.13,7.57,42.0
02390,51.76,11.11,42.0
02391,47.77,8.7,42.0
02392,50.4,10.69,42.0
02393,52.11,18.75,42.0
02395,42.5,8.33,42.0
02396,44.07,0.0,42.0
02397,50.77,8.11,42.0
02398,51.5,4.58,42.0
02399,49.08,3.33,42.0
02400,49.32,0.0,42.0
02401,46.91,0.0,42.0
02402,48.65,0.0,42.0
02403,51.88,13.04,42.0
02404,52.38,5.88,42.0
02405,51.24,12.82,42.0
02406,48.06,0.0,42.0
02407,53.37,10.0,42.0
02408,51.98,9.53,42.0
02409,52.67,7.14,42.0
02410,47.08,11.11,42.0
02411,48.0,4.35,42.0
02412,47.37,20.0,42.0
02413,48.67,14.81,42.0
02414,49.75,13.33,42.0
02415,48.08,18.75,42.0
02416,50.0,0.0,42.0
02417,51.72,11.11,42.0
02418,52.02,11.11,42.0
02419,50.66,9.69,42.0
02420,51.55,15.38,42.0
02421,57.14,20.0,42.0
02422,50.99,1.41,42.0
02423,48.58,14.29,42.0
02424,40.59,10.0,42.0
02425,47.59,7.69,42.0
02426,52.31,10.17,42.0
02427,42.76,26.65,42.0
02428,48.33,0.0,42.0
02429,46.02,0.0,42.0
02430,54.93,0.88,42.0
02431,48.58,2.94,42.0
02432,50.53,6.25,42.0
02433,52.03,6.67,42.0
02435,52.44,0.0,42.0
02438,48.63,9.9,42.0
02439,49.27,9.52,42.0
02440,53.15,8.33,42.0
02441,47.93,5.56,42.0
02442,46.99,11.11,42.0
02443,46.8,9.09,42.0
02444,48.51,11.11,42.0
02445,47.57,0.0,42.0
02446,48.31,8.33,42.0
02447,48.41,0.0,42.0
02448,51.38,0.0,42.0
02449,51.52,0.0,42.0
02450,48.21,3.22,42.0
02451,50.0,0.0,42.0
02452,55.32,22.73,42.0
02453,47.67,4.75,42.0
02454,48.45,5.26,42.0
02455,49.72,0.0,42.0
02456,48.81,7.14,42.0
02457,52.02,7.38,42.0
02458,50.67,8.56,42.0
02459,52.35,25.0,42.0
02460,44.66,5.56,42.0
02461,49.12,6.98,42.0
02462,47.98,11.11,42.0
02463,46.34,0.0,42.0
02464,48.93,2.63,42.0
02465,51.23,12.77,42.0
02466,48.82,0.0,42.0
02467,45.1,0.0,42.0
02468,51.82,6.62,42.0
02469,51.14,4.88,42.0
02470,47.89,7.5,42.0
02471,49.63,20.0,42.0
02472,46.13,9.72,42.0
02473,47.0,10.53,42.0
02474,50.07,8.82,42.0
02476,52.32,5.36,42.0
02477,51.21,21.95,42.0
02478,48.24,14.29,42.0
02480,45.57,3.7,42.0
02481,50.03,15.0,42.0
02482,46.3,0.0,42.0
02483,52.67,7.97,42.0
02484,47.19,0.0,42.0
02485,50.0,7.69,42.0
02486,50.47,22.22,42.0
02487,49.72,7.66,42.0
02488,53.16,0.0,42.0
02489,49.99,21.89,42.0
02490,50.0,20.0,42.0
02491,46.62,10.37,42.0
02492,49.34,12.71,42.0
02493,46.12,5.26,42.0
02494,49.61,0.0,42.0
02495,50.94,3.26,42.0
02496,54.08,7.14,42.0
02497,50.47,18.18,42.0
02498,49.48,3.75,42.0
02499,51.28,0.0,42.0
02500,48.12,1.49,42.0
02501,52.38,10.0,42.0
02502,51.06,4.42,42.0
02503,48.83,5.56,42.0
02504,51.52,9.37,42.0
02505,45.93,0.0,42.0
02506,47.03,16.67,42.0
02507,46.67,0.0,42.0
02508,46.67,0.0,42.0
02509,56.21,4.55,42.0
02510,49.64,23.53,42.0
02511,48.9,6.45,42.0
02512,50.74,9.68,42.0
02513,49.31,17.65,42.0
02514,49.36,5.19,42.0
02515,52.73,16.67,42.0
02516,50.7,14.29,42.0
02517,50.81,3.7,42.0
02518,44.09,11.43,42.0
02519,48.92,0.0,42.0
02520,48.8,6.58,42.0
02521,49.45,13.6,42.0
02522,50.59,14.29,42.0
02523,50.0,0.0,42.0
02524,49.35,2.63,42.0
02525,52.66,6.67,42.0
02526,48.48,0.0,42.0
02527,47.1,2.5,42.0
02528,48.02,4.76,42.0
02529,52.17,0.0,42.0
02530,44.87,11.11,42.0
02531,50.36,7.14,42.0
02532,51.79,2.06,42.0
02533,52.46,0.0,42.0
02534,53.49,0.0,42.0
02535,45.69,0.0,42.0
02536,51.14,12.5,42.0
02537,40.57,15.79,42.0
02538,43.24,14.29,42.0
02539,49.41,1.39,42.0
02540,52.26,16.82,42.0
02541,51.46,9.37,42.0
02542,51.22,12.5,42.0
02543,51.7,4.81,42.0
02544,54.04,9.52,42.0
02545,44.44,0.0,42.0
02546,51.72,19.05,42.0
02547,47.54,16.67,42.0
02548,51.41,3.03,42.0
02549,50.9,11.81,42.0
02550,47.5,0.0,42.0
02551,50.86,0.0,42.0
02552,52.2,5.0,42.0
02553,46.81,0.0,42.0
02554,52.74,13.14,42.0
02555,52.7,7.97,42.0
02556,50.72,10.0,42.0
02557,54.1,17.65,42.0
